ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Genus,Family
nuukingh,N|Uuki,,-29.716666666666665,19.083333333333332,nuuu1241,ngh,Tuu,Tuu
hoanhuc,=|Hoan,,-25.5,25.0,hoaa1235,huc,=|Hoan,Kxa
juhoanknw,Ju|'hoan,,-19.0,21.0,kung1261,knw,Ju-Kung,Kxa
koranakqz,Korana,,-29.5,20.5,kora1292,kqz,Khoe-Kwadi,Khoe-Kwadi
namanaq,Nama,,-25.5,18.0,nama1264,naq,Khoe-Kwadi,Khoe-Kwadi
anihnh,//Ani,,-18.916666666666668,21.916666666666668,anii1246,hnh,Khoe-Kwadi,Khoe-Kwadi
sandawesad,Sandawe,,-5.0,35.0,sand1273,sad,Sandawe,Sandawe
zuluzul,Zulu,,-30.0,30.0,zulu1248,zul,Bantoid,Niger-Congo
rongarng,Ronga,,-26.0,32.5,rong1268,rng,Bantoid,Niger-Congo
chichewanya,Chichewa,,-14.0,34.0,nyan1308,nya,Bantoid,Niger-Congo
lambalam,Lamba,,-13.0,28.0,lamb1271,lam,Bantoid,Niger-Congo
nyakyusanyy,Nyakyusa,,-9.333333333333334,33.75,nyak1260,nyy,Bantoid,Niger-Congo
kikuyukik,Kikuyu,,-0.75,36.75,kiku1240,kik,Bantoid,Niger-Congo
digodig,Digo,,-4.333333333333333,39.416666666666664,digo1243,dig,Bantoid,Niger-Congo
maorecomorianswb,Maore Comorian,,-12.0,44.333333333333336,maor1244,swb,Bantoid,Niger-Congo
nyamwezinym,Nyamwezi,,-5.0,33.0,nyam1276,nym,Bantoid,Niger-Congo
kagulukki,Kagulu,,-6.333333333333333,37.0,kagu1239,kki,Bantoid,Niger-Congo
swahiliswh,Swahili,,-6.5,39.0,swah1253,swh,Bantoid,Niger-Congo
benatanzaniabez,Bena (Tanzania),,-9.25,35.0,bena1262,bez,Bantoid,Niger-Congo
nkorekigacgg,Nkore-Kiga,,-0.9166666666666666,29.833333333333332,chig1238,cgg,Bantoid,Niger-Congo
runyankorenyn,Runyankore,,-0.5,30.5,nyan1307,nyn,Bantoid,Niger-Congo
hayahay,Haya,,-2.0,31.5,haya1250,hay,Bantoid,Niger-Congo
kifuliiruflr,Kifuliiru,,-3.0,29.0,fuli1240,flr,Bantoid,Niger-Congo
bembebmb,Bembe,,-4.25,28.666666666666668,bemb1255,bmb,Bantoid,Niger-Congo
ndumunmd,Ndumu,,-1.6666666666666665,13.583333333333334,ndum1239,nmd,Bantoid,Niger-Congo
nzadi,Nzadi,,-3.5,19.0,nzad1234,,Bantoid,Niger-Congo
luvaleluv,Luvale,,-12.0,22.0,luwa1238,luv,Bantoid,Niger-Congo
lundalun,Lunda,,-10.666666666666666,24.0,lund1266,lun,Bantoid,Niger-Congo
kwangalikwn,Kwangali,,-18.0,19.5,kwan1273,kwn,Bantoid,Niger-Congo
