name,glottocode
Nzadi,nzad1234
Kasong,suoy1242
Shompen,shom1245
Sisiqa,sisi1250
Wembawemba,west2443
Klikitat,klik1240
Wikchamni,wikc1234
Allentiac,alle1238
Kwaza,kwaz1243
Cuica,cuic1235
Kanoê,kano1245
Kham (Dege),derg1234
Kham (Nangchen),nort2707
Mising,miny1240
Miri (Hill),miri1271
Tetun Dili,tetu1246
Hua,huaa1250
Musqueam,musq1240
Seminole,semi1265
Chatino (Yaitepec),yait1239
