languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Dongo,Dongo,doo,Ubangi,Niger-Congo,3d N,3,30d E,30,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Dii,Dii,dur,Samba-Duru,Niger-Congo,8d N,8,14d E,14,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Samba Leko,Samba Leko,ndi,Samba-Duru,Niger-Congo,8d30 N,8.5,12d30 E,12.5,N-A-Num-Dem,,,,,,,,,
Doyayo,Doyayo,dow,Samba-Duru,Niger-Congo,8d40 N,8.66666666666667,13d05 E,13.0833333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mumuye,Mumuye,mzm,Mumuye-Yandang,Niger-Congo,9d N,9,11d40 E,11.6666666666667,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mbum,Mbum,mdd,Mbumic,Niger-Congo,7d45 N,7.75,13d10 E,13.1666666666667,N-A-Num-Dem,,,,,,,,,
Mundang,Mundang,mua,Mbumic,Niger-Congo,9d40 N,9.66666666666667,14d30 E,14.5,,,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Day,Day,dai,Day,Niger-Congo,8d45 N,8.75,17d50 E,17.8333333333333,N-A-Num-Dem,,,,,,,,,
Lua,Lua,nie,Bua,Niger-Congo,9d45 N,9.75,17d45 E,17.75,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kulango,Kulango,nku,Kulango-Lorom,Niger-Congo,9d N,9,3d W,-3,N-A-Num-Dem,,,,,,,,,
Koromfe,Koromfe,kfz,Northern-Central Gur,Niger-Congo,14d15 N,14.25,0d55 W,-0.916666666666667,N-A-Num-Dem,,,,,,,,,
Mossi,Moor�,mos,Northern-Central Gur,Niger-Congo,12d50 N,12.8333333333333,1d15 W,-1.25,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Dagaare,Dagaare,dga,Northern-Central Gur,Niger-Congo,10d30 N,10.5,2d40 W,-2.66666666666667,N-A-Num-Dem,,,,,,,,,
Dagbani,Dagbani,dag,Northern-Central Gur,Niger-Congo,9d35 N,9.58333333333333,0d30 W,-0.5,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ngangam,Ngangam,gng,Northern-Central Gur,Niger-Congo,10d10 N,10.1666666666667,0d30 E,0.5,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,,,
Sisaala (Western),Sisaala (Western),ssl,Southern-Central Gur,Niger-Congo,10d50 N,10.8333333333333,2d20 W,-2.33333333333333,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
