languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Tunen,Tunen,tvu,Bantoid,Niger-Congo,4d45 N,4.75,10d40 E,10.6666666666667,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Akoose,Akoose,bss,Bantoid,Niger-Congo,5d05 N,5.08333333333333,9d40 E,9.66666666666667,Dem-N-A-Num,,,,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Bakueri,Bakueri,bri,Bantoid,Niger-Congo,4d15 N,4.25,9d15 E,9.25,Dem-N-Num-A,,,,,,,,,
Eton,Eton,eto,Bantoid,Niger-Congo,4d15 N,4.25,11d25 E,11.4166666666667,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,,,
Kako,Kako,kkj,Bantoid,Niger-Congo,4d25 N,4.41666666666667,14d25 E,14.4166666666667,A-N-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Kenyang,Kenyang,ken,Bantoid,Niger-Congo,5d40 N,5.66666666666667,9d30 E,9.5,N-A-Dem-Num,,,,,,,,,
Aghem,Aghem,agq,Bantoid,Niger-Congo,6d40 N,6.66666666666667,10d E,10,N-A-Dem-Num,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Mmen,Mmen,bfm,Bantoid,Niger-Congo,6d27 N,6.45,10d12 E,10.2,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Babungo,Babungo,bav,Bantoid,Niger-Congo,6d07 N,6.11666666666667,10d25 E,10.4166666666667,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mundani,Mundani,mnf,Bantoid,Niger-Congo,5d40 N,5.66666666666667,9d55 E,9.91666666666667,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mungbam,Mungbam,mij,Bantoid,Niger-Congo,6d35 N,6.58333333333333,10d15 E,10.25,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nchane,Nchane,ncr,Bantoid,Niger-Congo,6d30 N,6.5,10d30 E,10.5,N-Dem-Num-A,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Tikar,Tikar,tik,Bantoid,Niger-Congo,5d50 N,5.83333333333333,11d40 E,11.6666666666667,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Nupe,Nupe,nup,Nupoid,Niger-Congo,9d10 N,9.16666666666667,5d25 E,5.41666666666667,N-A-Dem-Num,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Gwari,Gwari,gbr,Nupoid,Niger-Congo,9d30 N,9.5,7d E,7,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Yoruba,Yoruba,yor,Defoid,Niger-Congo,8d N,8,4d20 E,4.33333333333333,N-A-Num-Dem,,,,,,,,,
Igede,Igede,ige,Idomoid,Niger-Congo,7d N,7,8d10 E,8.16666666666667,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
