N|Uuki,ngh,Tuu,Tuu,29d43S,19d05E,,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
=|Hoan,huc,=|Hoan,Kxa,25d30S,25dE,,,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ju|'hoan,knw,Ju-Kung,Kxa,19dS,21dE,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Korana,kqz,Khoe-Kwadi,Khoe-Kwadi,29d30S,20d30E,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Nama,naq,Khoe-Kwadi,Khoe-Kwadi,25d30S,18dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
//Ani,hnh,Khoe-Kwadi,Khoe-Kwadi,18d55S,21d55E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Sandawe,sad,Sandawe,Sandawe,5dS,35dE,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Zulu,zul,Bantoid,Niger-Congo,30dS,30dE,,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ronga,rng,Bantoid,Niger-Congo,26dS,32d30E,,,,,,Adj is not verb & NAdj,,,,
Chichewa,nya,Bantoid,Niger-Congo,14dS,34dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Lamba,lam,Bantoid,Niger-Congo,13dS,28dE,,,,,,Adj is not verb & NAdj,,,,
